,file,predicted 1,predicted 2,predicted 3,x,y,z
0,1000-O [Dennis Hooker].jpg,TEXTILES,ORNAMENTS,SOUVENIRS,3.3812418,7.9618597,5.001728
1,1001-O [Dennis Hooker].jpg,SOUVENIRS,CERAMICS,GRAPHICS,2.2099824,1.0708683,8.4698515
2,1002-O [Dennis Hooker].jpg,CERAMICS,TABLEWARE,ORNAMENTS,2.8881502,-0.21196033,7.4559407
3,1003-O [Dennis Hooker].jpg,TABLEWARE,CERAMICS,ORNAMENTS,3.0228953,-0.41570374,7.3225656
4,1004-O [Dennis Hooker].jpg,INTERIOR DESIGN,FURNITURE,HEATING,11.627492,7.6530557,3.1575453
5,1005-O [Dennis Hooker].jpg,INTERIOR DESIGN,FURNITURE,HEATING,11.630792,7.5938587,3.16862
6,1006-O [Dennis Hooker].jpg,INTERIOR DESIGN,FURNITURE,TELECOMMUNICATIONS,11.625125,7.727182,3.1584024
7,1007-O [Dennis Hooker].jpg,INTERIOR DESIGN,FURNITURE,TELECOMMUNICATIONS,11.624997,7.666669,3.2303562
8,1008-O [Dennis Hooker].jpg,JEWELLERY,TABLEWARE,SOUVENIRS,4.0539436,2.0519621,6.5068045
9,1009-O [Dennis Hooker].jpg,SOUVENIRS,CERAMICS,SMOKING ACCESSORIES,3.1192768,2.3160467,5.6014614
10,1010-O [Dennis Hooker].jpg,TABLEWARE,CERAMICS,ORNAMENTS,4.024157,-0.25043303,8.5245075
11,101and102-O.jpg,LIGHTING,SANITARY EQUIPMENT,INTERIOR DESIGN,7.245931,1.2261297,8.257937
12,1031-O [Dennis Hooker].jpg,INTERIOR DESIGN,FURNITURE,TELECOMMUNICATIONS,11.519553,7.613013,3.0795755
13,1032-O [Dennis Hooker].jpg,INTERIOR DESIGN,FURNITURE,TELECOMMUNICATIONS,11.529757,7.5683365,3.0866897
14,"1033-O (Dennis Hooker A.I.B.P, A.R.P.S).jpg",CERAMICS,SOUVENIRS,ORNAMENTS,2.0716665,1.0914776,9.589929
15,"1034-O (Dennis Hooker A.I.B.P, A.R.P.S).jpg",OFFICE EQUIPMENT,GRAPHICS,DESIGN THEORY,5.230976,3.5455859,5.5800624
16,"1036-O (Dennis Hooker A.I.B.P, A.R.P.S).jpg",INTERIOR DESIGN,FURNITURE,HEATING,10.529665,8.319837,4.202859
17,"1037-O (Dennis Hooker A.I.B.P, A.R.P.S).jpg",INTERIOR DESIGN,FURNITURE,HEATING,10.753485,7.829681,4.7772965
18,"1038-O (Dennis Hooker A.I.B.P, A.R.P.S).jpg",GRAPHICS,SOUVENIRS,DESIGN THEORY,3.68446,3.0781004,4.0632353
19,"1039-O (Dennis Hooker A.I.B.P, A.R.P.S).jpg",SOUVENIRS,JEWELLERY,SMOKING ACCESSORIES,3.6785374,2.309108,6.0756598
20,103and104-O.jpg,FURNITURE,OTHER,INTERIOR DESIGN,10.745614,7.422125,7.164995
21,"1040-O (Dennis Hooker A.I.B.P, A.R.P.S).jpg",SOUVENIRS,JEWELLERY,GRAPHICS,3.2370105,2.4509265,5.596109
22,1041-O (©COID).jpg,WALLPAPER,BUILDING ACCESSORIES,SOUVENIRS,2.3390052,6.0344453,4.3444195
23,1042-O (©COID).jpg,WALLPAPER,BUILDING ACCESSORIES,ORNAMENTS,2.325904,6.10884,4.360414
24,1043-O (©COID).jpg,WALLPAPER,BUILDING ACCESSORIES,TEXTILES,2.2964234,6.1046333,4.3040614
25,1044-O (©COID).jpg,BUILDING ACCESSORIES,WALLPAPER,SOUVENIRS,2.2960494,6.095939,4.334015
26,1045-O (©COID).jpg,CERAMICS,SOUVENIRS,WALLPAPER,2.3422544,5.9872336,4.3799114
27,1046-O (©CoID).jpg,WALLPAPER,TEXTILES,OTHER,2.4784174,7.0685873,3.862221
28,1047-O (©COID).jpg,SOUVENIRS,BUILDING ACCESSORIES,WALLPAPER,2.3481236,5.9786606,4.3533993
29,1048-O (COID).jpg,WALLPAPER,BUILDING ACCESSORIES,SOUVENIRS,2.3400388,6.049442,4.3631434
30,1049-O (COID).jpg,SOUVENIRS,GRAPHICS,SMOKING ACCESSORIES,3.1064131,4.1014624,3.4735253
31,1050-O (COID).jpg,SOUVENIRS,CERAMICS,ORNAMENTS,2.3411148,5.9360657,4.3921804
32,1051-O (COID).jpg,SMOKING ACCESSORIES,GRAPHICS,MUSICAL INSTRUMENTS,4.109711,2.457273,5.6752796
33,1052-O (COID).jpg,INTERIOR DESIGN,FURNITURE,TELECOMMUNICATIONS,11.620401,7.657943,3.155499
34,1053-O (COID).jpg,INTERIOR DESIGN,FURNITURE,TELECOMMUNICATIONS,11.603121,7.6418486,3.1561313
35,1054-O (COID).jpg,INTERIOR DESIGN,FURNITURE,TELECOMMUNICATIONS,11.562484,7.7148004,3.2694612
36,1055-O (COID).jpg,INTERIOR DESIGN,FURNITURE,HEATING,11.670903,7.6410856,3.1720555
37,1056-O (©COID).jpg,INTERIOR DESIGN,FURNITURE,HEATING,11.1909,7.9597425,3.3420017
38,1057-O (COID).jpg,INTERIOR DESIGN,FURNITURE,HEATING,11.58015,7.7328157,3.2282832
39,1058-O (©CoID).jpg,INTERIOR DESIGN,FURNITURE,HEATING,11.171805,7.750844,3.231534
40,1059-O (©COID).jpg,INTERIOR DESIGN,FURNITURE,HEATING,10.040957,8.096572,3.8683307
41,105and106-O.jpg,LIGHTING,SCIENTIFIC EQUIPMENT,SMOKING ACCESSORIES,7.158545,1.1833686,8.33769
42,1060-O (COID).jpg,INTERIOR DESIGN,FURNITURE,TELECOMMUNICATIONS,11.693436,7.7194743,3.239174
43,1061-O (©COID).jpg,INTERIOR DESIGN,WALLPAPER,FURNITURE,9.6946745,7.93235,3.8653944
44,1062-O (COID).jpg,INTERIOR DESIGN,FURNITURE,HEATING,11.661585,7.745439,3.5230815
